x1,x2,txt,severe_toxic,len
23.572779,23.697567,You are gay or antisemmitian?,0,29
10.696508,-7.3551407,A pair of jew-hating weiner nazi schmucks.,0,42
27.404335,2.4578485,I think that your a Fagget get a oife and burn in Hell I hate you,0,128
2.883503,-18.367945,Kill all niggers.,0,17
-6.515446,12.166231,u r a tw@ fuck off u gay boy.,0,29
6.1577125,15.433012,"Gay 

The existence of CDVF is further proof that  is a sad twat.",0,65
-16.386461,5.3168454,"Dictionaries

How dare you call my contribution spam!!! I am a Kurd and I made a lsit of kurdish dictionaries.",0,110
-10.821661,8.714151,"you gay motherfucker i know where you live,i am going to sand your face off,then i am to going to beat you to a pulp,you chicken shagger.",1,137
-20.323793,6.4748363,you studid cock sucker u stop callin me ok its a frank Garrett eatin the worms crawl outa your moms pussy you fucking retardo hit I retardo,0,139
-2.409125,-19.286991,WOULDN'T BE THE FIRST TIME BITCH.,1,33
-16.09235,-5.524881,"Fuck you faggot, I don't care if i get blocked, as long as everyone knows you are a dumb cunt.",1,94
8.32073,-2.8331172,"Hey, you freaking hermaphrodite.",0,32
-12.882117,4.26172,GHE you're a fag.,0,17
-2.0202594,0.17710276,"SHUT UP, YOU FAT POOP, OR I WILL KICK YOUR ASS!!!",1,49
-19.378786,14.780734,THAT WAS A GOOD EDIT THE POLAR BEAR IS GAY!!,0,44
-8.191716,-8.146511,"Demonte Morton 

U bastard stop deletin' my shit u white trash cracker muthafucker.",0,83
25.669836,20.121752,Bla bla bla.,0,12
-2.7706392,-9.275117,You have evidence from ME!,0,169
6.585066,5.868278,"YOU ARE A FAGGOT
GET A LIFE 97.",0,31
4.5666156,28.988585,Once again.,0,11
